,route,time
554,"{'GLA', 'GVA'}",137.5
555,"{'GLA', 'LTN'}",75.0
556,"{'GLA', 'SYY'}",60.0
557,"{'BRS', 'GNB'}",100.0
558,"{'BCN', 'GOA'}",95.0
559,"{'GOJ', 'LED'}",125.0
560,"{'GOJ', 'SVO'}",80.0
561,"{'GOJ', 'VOG'}",102.5
562,"{'AGP', 'GOT'}",235.0
563,"{'BGO', 'GOT'}",75.0
564,"{'GRO', 'BHX'}",135.0
565,"{'GRX', 'BCN'}",87.5
566,"{'GRX', 'MAD'}",70.0
567,"{'GVA', 'ARN'}",160.0
568,"{'GVA', 'BCN'}",90.0
569,"{'GVA', 'BHX'}",110.0
570,"{'GVA', 'BOH'}",100.0
571,"{'GVA', 'BRS'}",105.0
572,"{'GVA', 'BRU'}",80.0
573,"{'GVA', 'GOT'}",135.0
574,"{'GVA', 'LGW'}",97.5
575,"{'GVA', 'LPL'}",115.0
576,"{'GVA', 'MAD'}",125.0
577,"{'GVA', 'MUC'}",75.0
578,"{'GVA', 'OPO'}",135.0
579,"{'GVA', 'PRN'}",137.5
580,"{'GVA', 'SOU'}",100.0
581,"{'HAJ', 'FRA'}",55.0
582,"{'HAJ', 'FUE'}",280.0
583,"{'HAJ', 'MUC'}",70.0
584,"{'AGP', 'HAM'}",200.0
585,"{'FUE', 'HAM'}",295.0
586,"{'HAU', 'BGO'}",30.0
587,"{'ARN', 'HEL'}",65.0
588,"{'HEL', 'BCN'}",245.0
589,"{'HEL', 'BRU'}",157.5
590,"{'CDG', 'HEL'}",170.0
591,"{'HEL', 'GOT'}",122.5
592,"{'HEL', 'HAM'}",117.5
593,"{'HEL', 'IVL'}",90.0
594,"{'HEL', 'MAD'}",265.0
595,"{'OUL', 'HEL'}",62.5
596,"{'RVN', 'HEL'}",77.5
597,"{'HHN', 'AGP'}",175.0
598,"{'INI', 'HHN'}",135.0
599,"{'IAS', 'CIA'}",140.0
600,"{'IAS', 'OTP'}",70.0
601,"{'IBZ', 'BCN'}",55.0
602,"{'IBZ', 'MAD'}",75.0
603,"{'IBZ', 'VLC'}",50.0
604,"{'HHN', 'INI'}",130.0
605,"{'INI', 'LJU'}",112.5
606,"{'INN', 'BRS'}",127.5
