,name,iata_code,iso_region,iso_country,coordinates
553,Milano Linate Airport,LIN,IT-25,IT,"9.27674, 45.445099"
554,Parma Airport,PMF,IT-45,IT,"10.2964, 44.824501"
555,Aosta Airport,AOT,IT-23,IT,"7.36872, 45.738499"
556,Cuneo International Airport,CUF,IT-21,IT,"7.62322, 44.547001"
557,Aviano Air Base,AVB,IT-36,IT,"12.596503, 46.031898"
558,Bolzano Airport,BZO,IT-32,IT,"11.3264, 46.460201"
559,Bologna Guglielmo Marconi Airport,BLQ,IT-45,IT,"11.2887, 44.5354"
560,Treviso-Sant'Angelo Airport,TSF,IT-34,IT,"12.1944, 45.648399"
561,ForlÃ¬ Airport,FRL,IT-45,IT,"12.0701, 44.194801"
562,Brescia Airport,VBS,IT-25,IT,"10.3306, 45.428902"
563,TriesteâFriuli Venezia Giulia Airport,TRS,IT-36,IT,"13.4722, 45.827499"
564,Federico Fellini International Airport,RMI,IT-45,IT,"12.6117, 44.020302"
565,Padova Airport,QPA,IT-34,IT,"11.8479, 45.395802"
566,Verona Villafranca Airport,VRN,IT-34,IT,"10.8885, 45.395699"
567,Ancona Falconara Airport,AOI,IT-57,IT,"13.3623, 43.616299"
568,Venice Marco Polo Airport,VCE,IT-34,IT,"12.3519, 45.505299"
569,Siena-Ampugnano Airport,SAY,IT-52,IT,"11.255, 43.256302"
570,Sarzana-Luni Air Base,QLP,IT-42,IT,"9.98795, 44.088001"
571,CiampinoâG. B. Pastine International Airport,CIA,IT-62,IT,"12.5949, 41.7994"
572,Leonardo da VinciâFiumicino Airport,FCO,IT-62,IT,"12.2388889, 41.8002778"
573,Salerno Costa d'Amalfi Airport,QSR,IT-72,IT,"14.9113, 40.620399"
574,Marina Di Campo Airport,EBA,IT-52,IT,"10.2394, 42.7603"
575,Latina Air Base,QLT,IT-62,IT,"12.909, 41.5424"
576,Naples International Airport,NAP,IT-72,IT,"14.2908, 40.886002"
577,Pisa International Airport,PSA,IT-52,IT,"10.3927, 43.683899"
578,Peretola Airport,FLR,IT-52,IT,"11.2051, 43.810001"
579,Grosseto Air Base,GRS,IT-52,IT,"11.0719, 42.759701"
580,Perugia San Francesco d'Assisi â Umbria International Airport,PEG,IT-55,IT,"12.5132, 43.095901"
581,Ljubljana JoÅ¾e PuÄnik Airport,LJU,SI-061,SI,"14.4576, 46.223701"
582,Maribor Airport,MBX,SI-070,SI,"15.686100006103516, 46.47990036010742"
583,Portoroz Airport,POW,SI-090,SI,"13.614999771118164, 45.4734001159668"
584,Kunovice Airport,UHE,CZ-ZL,CZ,"17.439699172973633, 49.02939987182617"
585,Karlovy Vary International Airport,KLV,CZ-KA,CZ,"12.914999961853027, 50.202999114990234"
586,Ostrava Leos JanÃ¡Äek Airport,OSR,CZ-MO,CZ,"18.111099243164062, 49.6963005065918"
587,Pardubice Airport,PED,CZ-PA,CZ,"15.73859977722168, 50.01340103149414"
588,PÅerov Air Base,PRV,CZ-OL,CZ,"17.404699325561523, 49.42580032348633"
589,VÃ¡clav Havel Airport Prague,PRG,CZ-PR,CZ,"14.26, 50.1008"
590,Brno-TuÅany Airport,BRQ,CZ-JM,CZ,"16.694400787353516, 49.15129852294922"
591,Vodochody Airport,VOD,CZ-ST,CZ,"14.3958, 50.216599"
592,Malta International Airport,MLA,MT-25,MT,"14.4775, 35.857498"
