route,time,departure airport,arrival airport,departure city,arrival city
"{'CPH', 'CDG'}",120.0,CPH,CDG,Copenhagen,Paris
"{'CPH', 'CGN'}",85.0,CPH,CGN,Copenhagen,Cologne
"{'CPH', 'FAO'}",235.0,CPH,FAO,Copenhagen,Faro
"{'CPH', 'FRA'}",90.0,CPH,FRA,Copenhagen,Frankfurt
"{'CPH', 'GDN'}",65.0,CPH,GDN,Copenhagen,Gdańsk
"{'CPH', 'GOT'}",52.5,CPH,GOT,Copenhagen,Gothenburg
"{'CPH', 'GVA'}",123.75,CPH,GVA,Copenhagen,Geneva
"{'CPH', 'HAM'}",60.0,CPH,HAM,Copenhagen,Hamburg
"{'CPH', 'HEL'}",100.0,CPH,HEL,Copenhagen,Helsinki
"{'CPH', 'KRK'}",105.0,CPH,KRK,Copenhagen,Kraków
"{'CPH', 'KUN'}",90.0,CPH,KUN,Copenhagen,Kaunas
"{'CPH', 'LHR'}",125.0,CPH,LHR,Copenhagen,London
"{'CPH', 'MAD'}",195.0,CPH,MAD,Copenhagen,Madrid
"{'CPH', 'MAN'}",120.0,CPH,MAN,Copenhagen,Manchester
"{'CPH', 'MUC'}",100.0,CPH,MUC,Copenhagen,Munich
"{'CPH', 'OPO'}",205.0,CPH,OPO,Copenhagen,Porto
"{'CPH', 'OSL'}",75.0,CPH,OSL,Copenhagen,Oslo
"{'CPH', 'RIX'}",85.0,CPH,RIX,Copenhagen,Riga
"{'CPH', 'STN'}",115.0,CPH,STN,Copenhagen,London
"{'CPH', 'SZG'}",96.66666666666669,CPH,SZG,Copenhagen,Salzburg
"{'CPH', 'VIE'}",102.5,CPH,VIE,Copenhagen,Vienna
"{'CPH', 'ZRH'}",105.0,CPH,ZRH,Copenhagen,Zürich
"{'BLQ', 'CRA'}",110.0,BLQ,CRA,Bologna,Craiova
"{'CRL', 'CRA'}",150.0,CRL,CRA,Brussels,Craiova
"{'BCN', 'CRL'}",135.0,BCN,CRL,Barcelona,Brussels
"{'CIA', 'CRL'}",130.0,CIA,CRL,Rome,Brussels
"{'OTP', 'CRL'}",175.0,OTP,CRL,Bucharest,Brussels
"{'CSY', 'SVO'}",95.0,CSY,SVO,Cheboksary,Moscow
"{'CSY', 'VKO'}",85.0,CSY,VKO,Cheboksary,Moscow
"{'CTA', 'BGY'}",112.5,CTA,BGY,Catania,Monza
"{'CTA', 'BLQ'}",105.0,CTA,BLQ,Catania,Bologna
"{'CTA', 'CRL'}",160.0,CTA,CRL,Catania,Brussels
"{'CTA', 'FLR'}",95.0,CTA,FLR,Catania,Florence
"{'CTA', 'OTP'}",130.0,CTA,OTP,Catania,Bucharest
"{'CTA', 'PRG'}",140.0,CTA,PRG,Catania,Prague
"{'CTA', 'VRN'}",107.5,CTA,VRN,Catania,Verona
"{'DEB', 'LTN'}",167.5,DEB,LTN,Debrecen,London
"{'DME', 'AER'}",217.5,DME,AER,Moscow,Sochi
"{'DME', 'ARH'}",110.0,DME,ARH,Moscow,Arkhangelsk
"{'DME', 'GRV'}",185.0,DME,GRV,Moscow,Groznyy
"{'DME', 'HTA'}",402.5,DME,HTA,Moscow,Chita
"{'DME', 'IJK'}",100.0,DME,IJK,Moscow,Izhevsk
"{'DME', 'KZN'}",105.0,DME,KZN,Moscow,Kazan
"{'DME', 'LED'}",96.25,DME,LED,Moscow,Saint Petersburg
"{'DME', 'MMK'}",165.0,DME,MMK,Moscow,Murmansk
"{'DME', 'MSQ'}",85.0,DME,MSQ,Moscow,Horad Zhodzina
"{'DME', 'NOZ'}",277.5,DME,NOZ,Moscow,Novokuznetsk
"{'DME', 'PEE'}",145.0,DME,PEE,Moscow,Perm
"{'DME', 'PEZ'}",80.0,DME,PEZ,Moscow,Penza
"{'DME', 'VOG'}",110.0,DME,VOG,Moscow,Volgograd
"{'DTM', 'BEG'}",125.0,DTM,BEG,Dortmund,Belgrade
"{'DTM', 'BUD'}",105.0,DTM,BUD,Dortmund,Budapest
"{'DTM', 'CLJ'}",130.0,DTM,CLJ,Dortmund,Cluj-Napoca
"{'DTM', 'FCO'}",125.0,DTM,FCO,Dortmund,Rome
"{'DTM', 'GDN'}",95.0,DTM,GDN,Dortmund,Gdańsk
"{'DTM', 'KTW'}",95.0,DTM,KTW,Dortmund,Katowice
"{'DTM', 'SZY'}",107.5,DTM,SZY,Dortmund,Szczytno
"{'DTM', 'TZL'}",130.0,DTM,TZL,Dortmund,Banja Koviljača
"{'DTM', 'VNO'}",125.0,DTM,VNO,Dortmund,Vilnius
"{'DUS', 'ACE'}",265.0,DUS,ACE,Cologne,Arrecife
"{'DUS', 'AMS'}",55.0,DUS,AMS,Cologne,Amsterdam
"{'DUS', 'CDG'}",75.0,DUS,CDG,Cologne,Paris
"{'DUS', 'CPH'}",75.0,DUS,CPH,Cologne,Copenhagen
"{'DUS', 'FRA'}",50.0,DUS,FRA,Cologne,Frankfurt
"{'DUS', 'HEL'}",140.0,DUS,HEL,Cologne,Helsinki
"{'DUS', 'KIV'}",160.0,DUS,KIV,Cologne,Chisinau
"{'DUS', 'LHR'}",85.0,DUS,LHR,Cologne,London
"{'DUS', 'LIS'}",185.0,DUS,LIS,Cologne,Lisbon
"{'DUS', 'MAD'}",160.0,DUS,MAD,Cologne,Madrid
"{'DUS', 'MUC'}",70.0,DUS,MUC,Cologne,Munich
"{'DUS', 'PRN'}",162.5,DUS,PRN,Cologne,Pristina
"{'DUS', 'TIA'}",145.0,DUS,TIA,Cologne,Tirana
"{'DUS', 'TOS'}",210.0,DUS,TOS,Cologne,Tromsø
"{'DUS', 'VIE'}",95.0,DUS,VIE,Cologne,Vienna
"{'DUS', 'ZRH'}",70.0,DUS,ZRH,Cologne,Zürich
"{'EAS', 'BCN'}",65.0,EAS,BCN,Donostia,Barcelona
"{'EAS', 'MAD'}",65.0,EAS,MAD,Donostia,Madrid
"{'EDI', 'AGP'}",200.0,EDI,AGP,Dunfermline,Málaga
"{'EDI', 'BCN'}",160.0,EDI,BCN,Dunfermline,Barcelona
"{'EDI', 'BHX'}",65.0,EDI,BHX,Dunfermline,Birmingham
