,dep,arr,time
1061,MAD,CPH,200
1062,MAD,LCG,80
1063,MAD,LHR,145
1064,AGP,OSL,250
1065,AGP,ZRH,155
1066,AGP,BUD,205
1067,AGP,LGG,190
1068,AGP,GOT,235
1069,AGP,AMS,190
1070,AGP,HAM,200
1071,AGP,CGN,180
1072,AGP,MUC,180
1073,AGP,MLN,60
1074,AGP,LGW,170
1075,AGP,MAD,75
1076,AGP,KRK,220
1077,AGP,BGY,155
1078,AGP,FRA,185
1079,AGP,BRS,165
1080,AGP,LHR,185
1081,AGP,CDG,165
1082,AGP,EMA,180
1083,AGP,BRU,190
1084,AGP,EIN,180
1085,AGP,AMS,185
1086,AGP,STN,175
1087,AGP,VIE,200
1088,AGP,BCN,90
1089,AGP,VNO,265
1090,AGP,FCO,155
1091,AGP,BCN,95
1092,AGP,ARN,265
1093,AGP,ACE,135
1094,AGP,ORY,155
1095,AGP,RTM,175
1096,AGP,WRO,220
1097,AGP,NRN,185
1098,AGP,BGO,240
1099,AGP,LUX,160
1100,AGP,BOH,160
1101,AGP,PRG,195
1102,AGP,BHX,180
1103,AGP,WMI,230
1104,AGP,LTN,175
1105,AGP,GDN,245
1106,AGP,BUD,215
1107,MAH,BCN,50
1108,PNA,MAD,65
1109,EAS,BCN,65
1110,EAS,MAD,65
1111,SCQ,ACE,160
1112,SCQ,VLC,90
1113,SCQ,MAD,70
1114,SCQ,MAD,75
1115,VLC,WRO,185
1116,VLC,STN,155
1117,VLC,BLQ,120
1118,VLC,AMS,160
1119,VLC,PSA,110
1120,VLC,OPO,95
1121,VLC,MAD,65
1122,VLC,TSF,130
1123,VLC,MUC,145
1124,VLC,NAP,125
1125,VLC,LIS,95
1126,VLC,BRU,145
1127,VLC,KRK,185
1128,VLC,ORY,125
1129,VLC,MAD,60
1130,VLC,FCO,125
1131,VLC,SCQ,95
1132,VLC,PMO,125
1133,VLC,BGY,125
1134,VGO,STN,130
1135,VGO,MAD,70
1136,VGO,MAD,80
1137,VGO,BCN,105
1138,SDR,MAD,70
1139,SDR,VIE,160
1140,SDR,MAN,125
1141,ZAZ,BVA,105
1142,ZAZ,STN,130
1143,SVQ,MXP,155
1144,SVQ,STN,170
1145,SVQ,CDG,160
1146,SVQ,CTA,175
1147,SVQ,MAN,180
1148,SVQ,MAD,65
1149,SVQ,BCN,100
